,currency,equity,fixed_income,private_equity,gold,commodities_ex_gold,cash
2006-03-31,USD,0.0250691549,-0.0086748315,0.0490881147,0.0362047225,0.0279090010,0.0037491246
2006-04-30,USD,0.0305348827,-0.0014893948,0.0030278396,0.1203097771,0.0701755268,0.0034466336
2006-05-31,USD,-0.0425734881,-0.0019861116,-0.0568243051,-0.0132123679,-0.0039031896,0.0041578781
2006-06-30,USD,0.0020358450,-0.0016090786,-0.0004181178,-0.0467072031,-0.0086206840,0.0038425992
2006-07-31,USD,0.0083304787,0.0138886510,-0.0285795112,0.0315205017,0.0221343813,0.0040895107
2006-08-31,USD,0.0223929549,0.0159103017,0.0299942472,-0.0137745240,-0.0332559550,0.0041145503
2006-09-30,USD,0.0146079218,0.0101160935,0.0064166350,-0.0452721087,-0.0420000712,0.0037344322
2006-10-31,USD,0.0382206509,0.0068575153,0.0587497457,0.0129477122,0.0100208888,0.0042028740
2006-11-30,USD,0.0282699264,0.0106183433,0.0241368154,0.0688910623,0.0657296934,0.0039646106
2006-12-31,USD,0.0244523656,-0.0060042009,0.0037294245,-0.0183258319,-0.0231994087,0.0037605379
2007-01-31,USD,0.0131765603,-0.0007025361,0.0169169448,0.0256289000,-0.0240033027,0.0043848615
2007-02-28,USD,-0.0149636080,0.0162542042,-0.0065538108,0.0254512028,0.0508546452,0.0037642225
2007-03-31,USD,0.0224076901,-0.0019504404,0.0098029238,-0.0111312493,0.0067433262,0.0039635607
2007-04-30,USD,0.0412520651,0.0058972167,0.0162360409,0.0205354201,0.0074862368,0.0040320695
2007-05-31,USD,0.0326172812,-0.0091728976,0.0437208746,-0.0231032271,-0.0023465760,0.0039182754
2007-06-30,USD,-0.0047234906,-0.0037681849,-0.0143822338,-0.0193775443,0.0074480870,0.0035693411
2007-07-31,USD,-0.0238158271,0.0107307896,-0.0699643141,0.0236502933,0.0190660974,0.0041131490
2007-08-31,USD,0.0065145928,0.0127945710,0.0212715550,0.0110958461,-0.0190911902,0.0034726900
2007-09-30,USD,0.0525514375,0.0063286067,0.0189832318,0.1050812665,0.0942000601,0.0029423618
